Name,Detail,Price,Brand,CPU_Type,RAM_GB,SSD_GB
Aorus Elite 16 BWHC3FRC65SP,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5070, RAM 32 Go, SSD 2x1 To, dalle IPS WQXGA 165 Hz, Windows 11 Pro, AZERTY",649.95,aorus,Intel Core Ultra 9,32,other
Altyk Le PC Portable L16F-I3P16-N05,"PC portable 16"", Intel Core i3-1220P, RAM 16 Go, SSD 480 Go, dalle IPS Full HD+, Windows 11, AZERTY",1049.95,altyk,Intel Core i3,16,480
Asus ExpertBook B1 B1503CVA-S71360X,"PC portable 15.6"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",2299.95,asus,Intel Core i7,16,512
ASUS ExpertBook B1 B1503CVA-S71361X,"PC portable 15.6"", Intel Core i7-13620H, RAM 32 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",1999.95,asus,Intel Core i7,32,512
Asus ExpertBook B1 B1503CVA-S74764X,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",749.95,asus,Intel Core i5,16,512
ASUS ExpertBook B3 B3405CVA-LY0299X,"PC portable 14"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",749.95,asus,Intel Core i7,16,512
ASUS ExpertBook B3 B3605CVA-MB0196X,"PC portable 16"", Intel Core i5-13420H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",819.95,asus,Intel Core i5,16,512
ASUS ExpertBook B3 B3605CVA-MB0197X,"PC portable 16"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",899.95,asus,Intel Core i7,16,512
ASUS ExpertBook B3 Flip B3402FVA-EC0164X,"PC portable 14"", Intel Core i5-1335U, RAM 16 Go, SSD 512 Go, dalle IPS Full HD tactile, Windows 11 Pro, AZERTY",1099.95,asus,Intel Core i5,16,512
Asus ExpertBook B5 B5404CMA-Q70062X,"PC portable 14"", Intel Core Ultra 7 155U, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",969.95,asus,Intel Core Ultra 7,16,512
ASUS ExpertBook B5 B5405CCA-NZ0030X,"PC portable 14"", Intel Core Ultra 5 225H, RAM 16 Go, SSD 512 Go, dalle QHD+, Windows 11 Pro, AZERTY",1169.95,asus,Intel Core Ultra 5,16,512
