Name,Detail,Price
Aorus Elite 16 BWHC3FRC65SP,"PC portable gamer 16"", Intel Core Ultra 9 275HX, RTX 5070, RAM 32 Go, SSD 2x1 To, dalle IPS WQXGA 165 Hz, Windows 11 Pro, AZERTY",649€95
Altyk Le PC Portable L16F-I3P16-N05,"PC portable 16"", Intel Core i3-1220P, RAM 16 Go, SSD 480 Go, dalle IPS Full HD+, Windows 11, AZERTY",1 049€95
Altyk Le PC Portable L16F-I3P16-N05,"PC portable 16"", Intel Core i3-1220P, RAM 16 Go, SSD 480 Go, dalle IPS Full HD+, Windows 11, AZERTY",1 199€95
Altyk Le PC Portable L16P-I3P16-N05,"PC portable 15.6"", Intel Core i3-1220P, RAM 16 Go, SSD 480 Go, dalle IPS Full HD+, Windows 11 Pro, AZERTY",
Altyk Le Petit PC Portable L14F-I5U16-N1,"PC portable 14"", Intel Core i5-1235U, RAM 16 Go, SSD 960 Go, dalle IPS Full HD, Windows 11, AZERTY",
Altyk Le Petit PC Portable L14F-I7U16-N1,"PC portable 14"", Intel Core i7-1255U, RAM 16 Go, SSD 960 Go, dalle IPS Full HD, Windows 11, AZERTY",
Altyk Le Petit PC Portable L14P-I5U16-N1,"PC portable 14"", Intel Core i5-1235U, RAM 16 Go, SSD 960 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",
Altyk Le Petit PC Portable L14P-I7U16-N1,"PC portable 14"", Intel Core i7-1255U, RAM 16 Go, SSD 960 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",
Altyk Le PC Portable L16F-I5P16-N1,"PC portable 16"", Intel Core i5-1240P, RAM 16 Go, SSD 960 Go, dalle IPS Full HD+, Windows 11, AZERTY",
Altyk Le PC Portable L16F-I5P32-N2,"PC portable 16"", Intel Core i5-1240P, RAM 32 Go, SSD 1920 Go, dalle IPS Full HD+, Windows 11, AZERTY",
Altyk Le PC Portable L16P-I5P16-N1,"PC portable 16"", Intel Core i5-1240P, RAM 16 Go, SSD 960 Go, dalle IPS Full HD+, Windows 11 Pro, AZERTY",
Altyk Le PC Portable L16P-I5P32-N2,"PC portable 16"", Intel Core i5-1240P, RAM 32 Go, SSD 1920 Go, dalle IPS Full HD+, Windows 11 Pro, AZERTY",
Asus ExpertBook B1 B1403CVA-S61634X,"PC portable 14"", Intel Core i3-1315U, RAM 8 Go, SSD 256 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",
Asus ExpertBook B1 B1403CVA-S61809X,"PC portable 14"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",
Asus ExpertBook B1 B1403CVA-S65011X,"PC portable 14"", Intel Core i5-120U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",
Asus ExpertBook B1 B1502CVA-BQ0188X,"PC portable 15.6"", Intel Core i3-1315U, RAM 8 Go, SSD 256 Go, dalle IPS Full HD, Windows 11 Pro, AZERTY",
Asus ExpertBook B1 B1503CVA-S71360X,"PC portable 15.6"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",2 299€95
ASUS ExpertBook B1 B1503CVA-S71361X,"PC portable 15.6"", Intel Core i7-13620H, RAM 32 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",1 999€95
Asus ExpertBook B1 B1503CVA-S74764X,"PC portable 15.6"", Intel Core 5 120U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",749€95
ASUS ExpertBook B3 B3405CVA-LY0299X,"PC portable 14"", Intel Core i7-13620H, RAM 16 Go, SSD 512 Go, dalle TN Full HD+, Windows 11 Pro, AZERTY",749€95
